date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
17:23:55	96/96	---MCZ	200	added ('OK')	text/plain	date:Mon,%2030%20Aug%202021%2022:17:29%20GMT	https://jgfi9rht9gkb0i445.blogspot.com/robots.txt		(from )
17:23:55	272366/272366	---MCZ	200	added ('OK')	text/html	date:Mon,%2030%20Aug%202021%2022:17:29%20GMT	https://jgfi9rht9gkb0i445.blogspot.com/	C:/My%20Web%20Sites/github/jgfi9rht9gkb0i445.blogspot.com/index.html	(from )
17:23:55	2970/2970	---MCZ	404	error ('Not%20Found')	text/html	date:Mon,%2030%20Aug%202021%2023:23:57%20GMT	https://jgfi9rht9gkb0i445.blogspot.com/kit.fontawesome.com/38f7dffd19.js	C:/My%20Web%20Sites/github/jgfi9rht9gkb0i445.blogspot.com/kit.fontawesome.com/38f7dffd19.0.delayed	(from https://jgfi9rht9gkb0i445.blogspot.com/)
17:23:56	2970/2970	---MCZ	404	error ('Not%20Found')	text/html	date:Mon,%2030%20Aug%202021%2023:23:58%20GMT	https://jgfi9rht9gkb0i445.blogspot.com/img/vivo.png	C:/My%20Web%20Sites/github/jgfi9rht9gkb0i445.blogspot.com/img/vivo.1.delayed	(from https://jgfi9rht9gkb0i445.blogspot.com/)
17:23:57	2970/2970	---MCZ	404	error ('Not%20Found')	text/html	date:Mon,%2030%20Aug%202021%2023:23:58%20GMT	https://jgfi9rht9gkb0i445.blogspot.com/img/favicon.ico	C:/My%20Web%20Sites/github/jgfi9rht9gkb0i445.blogspot.com/img/favicon.2.delayed	(from https://jgfi9rht9gkb0i445.blogspot.com/)
17:23:57	2970/2970	---MCZ	404	error ('Not%20Found')	text/html	date:Mon,%2030%20Aug%202021%2023:23:59%20GMT	https://jgfi9rht9gkb0i445.blogspot.com/css/stylec924.css?v=1.0.6	C:/My%20Web%20Sites/github/jgfi9rht9gkb0i445.blogspot.com/css/stylec924.3c924.delayed	(from https://jgfi9rht9gkb0i445.blogspot.com/)
17:23:58	2970/2970	---MCZ	404	error ('Not%20Found')	text/html	date:Mon,%2030%20Aug%202021%2023:23:59%20GMT	https://jgfi9rht9gkb0i445.blogspot.com/css/embed6efc.css?ver=1.0.058	C:/My%20Web%20Sites/github/jgfi9rht9gkb0i445.blogspot.com/css/embed6efc.46efc.delayed	(from https://jgfi9rht9gkb0i445.blogspot.com/)
17:23:59	2970/2970	---MCZ	404	error ('Not%20Found')	text/html	date:Mon,%2030%20Aug%202021%2023:24:00%20GMT	https://jgfi9rht9gkb0i445.blogspot.com/s7.addthis.com/js/300/addthis_widget.js	C:/My%20Web%20Sites/github/jgfi9rht9gkb0i445.blogspot.com/s7.addthis.com/js/300/addthis_widget.5.delayed	(from https://jgfi9rht9gkb0i445.blogspot.com/)
17:23:59	871/871	---M--	200	added ('OK')	text/css	date:Mon,%2030%20Aug%202021%2012:51:43%20GMT	http://www.blogger.com/static/v1/v-css/navbar/3334278262-classic.css	C:/My%20Web%20Sites/github/www.blogger.com/static/v1/v-css/navbar/3334278262-classic.css	(from https://jgfi9rht9gkb0i445.blogspot.com/)
17:24:00	55572/55572	---MC-	200	added ('OK')	application/javascript	date:Mon,%2030%20Aug%202021%2023:24:01%20GMT	https://apis.google.com/js/plusone.js	C:/My%20Web%20Sites/github/apis.google.com/js/plusone.js	(from https://jgfi9rht9gkb0i445.blogspot.com/)
17:24:01	272366/272366	---MCZ	200	added ('OK')	text/html	date:Mon,%2030%20Aug%202021%2022:17:29%20GMT	https://jgfi9rht9gkb0i445.blogspot.com/index.html	C:/My%20Web%20Sites/github/jgfi9rht9gkb0i445.blogspot.com/index-2.html	(from https://jgfi9rht9gkb0i445.blogspot.com/)
17:24:02	2970/2970	---MCZ	404	error ('Not%20Found')	text/html	date:Mon,%2030%20Aug%202021%2023:24:03%20GMT	https://jgfi9rht9gkb0i445.blogspot.com/www.teleringa.com/ads/ads7280dc5.js?tv=5	C:/My%20Web%20Sites/github/jgfi9rht9gkb0i445.blogspot.com/www.teleringa.com/ads/ads7280dc5.90dc5.delayed	(from https://jgfi9rht9gkb0i445.blogspot.com/)
17:24:02	2970/2970	---MCZ	404	error ('Not%20Found')	text/html	date:Mon,%2030%20Aug%202021%2023:24:03%20GMT	https://jgfi9rht9gkb0i445.blogspot.com/waust.at/s.js	C:/My%20Web%20Sites/github/jgfi9rht9gkb0i445.blogspot.com/waust.at/s.a.delayed	(from https://jgfi9rht9gkb0i445.blogspot.com/)
